Huber, Patrick, 1961-07-08, M, LEICHTATHLETIK
Hirsch, Mandy, 1932-10-11, F, RUDERN
Gerber, Christina, 1950-08-13, F, REITEN
Probst, Andrea, 1944-10-18, F, FUSSBALL
Fenstermacher, Nadine, 1940-03-24, F, FUSSBALL
Eberhardt, Jan, 1969-12-15, M, SCHWIMMEN
Faber, Benjamin, 1976-11-17, M, SCHWIMMEN
Neustadt, Andrea, 1940-01-16, F, FECHTEN
Schweizer, Anna, 1969-06-06, F, RADSPORT
Krause, Lisa, 1924-10-14, F, LEICHTATHLETIK
Fink, Nadine, 1978-11-04, F, TURNEN
Hoch, Lea, 1946-05-13, F, FECHTEN
Abendroth, Philipp, 1934-05-19, M, TANZEN
Becker, Niklas, 1919-02-13, M, HANDBALL
Schultheiss, Jennifer, 1991-09-24, F, REITEN
Neudorf, Ute, 1997-06-09, F, SCHWIMMEN
Schaefer, Daniel, 1924-08-03, M, FECHTEN
Eberhart, Ute, 1990-05-21, F, SCHWIMMEN
Schreiner, Ulrich, 1961-04-18, M, TANZEN
Nacht, Stefanie, 1961-10-21, F, REITEN
Wannemaker, Benjamin, 1977-08-13, M, SCHWIMMEN
Pfeiffer, Mario, 1977-05-04, M, SCHWIMMEN
Sanger, Klaus, 1939-01-30, M, RADSPORT
Zweig, Luca, 1966-01-15, M, SCHWIMMEN
Buerger, Stephan, 1953-04-16, M, LEICHTATHLETIK
Farber, Katja, 1950-10-18, F, TANZEN
Sanger, Katja, 1985-02-09, F, LEICHTATHLETIK
Bauer, Klaudia, 1952-09-07, F, SCHWIMMEN
Lemann, Jens, 1976-01-02, M, SCHWIMMEN
Weiss, Claudia, 1945-03-04, F, REITEN
Werner, Christina, 1948-04-04, F, REITEN
Durr, Jan, 1934-04-14, M, HANDBALL
Scholz, Jonas, 1951-09-13, M, RUDERN
Kunze, Leon, 1967-09-24, M, RADSPORT
Schmid, Lena, 1918-10-29, F, REITEN
Eichmann, Karolin, 1985-09-28, F, RADSPORT
Rothstein, Sebastian, 1942-04-08, M, SCHWIMMEN
Abend, Tom, 1933-04-29, M, RUDERN
Mehler, Michelle, 1993-02-14, F, HANDBALL
Eggers, Christin, 1977-02-28, F, TURNEN
Faerber, Patrick, 1953-10-25, M, SCHWIMMEN
Finkel, Marina, 1943-12-07, F, SCHWIMMEN
Maur, Sven, 1938-04-14, M, FUSSBALL
Propst, Katharina, 1918-08-10, F, TANZEN
Adler, Stefanie, 1918-03-26, F, TANZEN
Bauer, Anne, 1920-03-29, F, RUDERN
Maurer, Leon, 1924-05-07, M, FECHTEN
Feierabend, Lucas, 1975-05-03, M, FECHTEN
Klein, Florian, 1949-10-09, M, FUSSBALL
Boehm, Torsten, 1959-10-09, M, FUSSBALL
Bergmann, Christina, 1982-07-13, F, LEICHTATHLETIK
Rothschild, Jessika, 1996-08-08, F, FECHTEN
Muller, Stephanie, 1988-11-10, F, FUSSBALL
Amsel, Michelle, 1940-01-16, F, RUDERN
Freeh, Katrin, 1960-04-11, F, SCHWIMMEN
Schmitt, Frank, 1988-03-18, M, FECHTEN
Schweizer, Klaus, 1954-05-15, M, RADSPORT
Loewe, Ralf, 1993-02-01, M, RUDERN
Moench, Uwe, 1983-04-24, M, TANZEN
Muller, Kristian, 1942-06-10, M, FUSSBALL
Frankfurter, Jana, 1958-01-30, F, FUSSBALL
Koenig, Lea, 1969-09-19, F, SCHWIMMEN
Abendroth, Alexander, 1987-01-29, M, FECHTEN
Naumann, Swen, 1951-07-31, M, LEICHTATHLETIK
Gruenewald, Andrea, 1950-03-18, F, LEICHTATHLETIK
Bar, Lukas, 1966-12-10, M, LEICHTATHLETIK
Schroeder, Daniela, 1995-11-09, F, FUSSBALL
Huber, Marco, 1948-03-15, M, TANZEN
Trommler, Doreen, 1980-10-03, F, TURNEN
Gruenewald, Paul, 1948-05-07, M, TANZEN
Vogt, Nicole, 1940-08-17, F, REITEN
Koch, Erik, 1988-11-18, M, TANZEN
Eggers, Katrin, 1996-08-01, F, FECHTEN
Schiffer, Maria, 1964-05-25, F, TURNEN
Busch, Florian, 1917-06-15, M, HANDBALL
Egger, Florian, 1965-05-09, M, REITEN
Neumann, Vanessa, 1938-09-12, F, TURNEN
Schwarz, Ute, 1933-04-29, F, REITEN
Austerlitz, Andrea, 1923-03-24, F, RUDERN
Meister, Daniel, 1925-10-10, M, RUDERN
Moeller, Tom, 1920-03-27, M, TANZEN
Traugott, Uwe, 1970-09-25, M, REITEN
Schroeder, Birgit, 1942-01-24, F, TANZEN
Lowe, Dieter, 1950-11-05, M, REITEN
Schaefer, Klaus, 1930-08-26, M, FECHTEN
Mehler, Sebastian, 1949-01-24, M, TURNEN
Schultz, Michael, 1947-06-25, M, RADSPORT
Kaufmann, Rene, 1962-04-07, M, LEICHTATHLETIK
Mueller, Julia, 1959-02-07, F, REITEN
Eggers, Phillipp, 1978-07-30, M, RADSPORT
Trommler, Maria, 1928-12-21, F, HANDBALL
Fassbinder, Dennis, 1941-01-31, M, REITEN
Pabst, Frank, 1942-09-25, M, RUDERN
Schmitt, Kristin, 1919-08-21, F, FECHTEN
Theissen, Paul, 1936-10-17, M, RADSPORT
Konig, Matthias, 1925-04-15, M, FUSSBALL
Weiss, Nadine, 1970-01-26, F, FECHTEN
Gloeckner, Sandra, 1971-09-05, F, HANDBALL
Lehrer, Manuela, 1998-11-28, F, FECHTEN
Jung, Monika, 1953-06-10, F, FECHTEN
Blau, Dennis, 1934-05-26, M, HANDBALL
Saenger, Martin, 1932-04-03, M, FECHTEN
Schuhmacher, Dominik, 1918-05-03, M, LEICHTATHLETIK
Maier, Maik, 1926-05-31, M, FUSSBALL
Lowe, Klaudia, 1929-11-01, F, TANZEN
Mauer, David, 1967-12-16, M, REITEN
Farber, Swen, 1965-07-16, M, FECHTEN
Muench, Marcel, 1950-07-10, M, FUSSBALL
Buerger, Ralf, 1965-11-26, M, RADSPORT
Amsel, Luca, 1982-02-24, M, TURNEN
Naumann, Marco, 1935-08-10, M, TURNEN
Traugott, Marcel, 1943-01-29, M, FUSSBALL
Pfeifer, Rene, 1972-09-28, M, FECHTEN
Schwarz, Jennifer, 1941-01-01, F, FUSSBALL
Abendroth, Lucas, 1981-12-21, M, SCHWIMMEN
Fischer, Ulrich, 1949-03-20, M, RADSPORT
Burger, Christine, 1935-10-14, F, SCHWIMMEN
Beyer, Jessika, 1927-04-30, F, LEICHTATHLETIK
Gloeckner, Andreas, 1962-07-24, M, TANZEN
Schmidt, Katrin, 1953-07-10, F, RUDERN
Pfeffer, Lena, 1926-03-28, F, RADSPORT
Brauer, David, 1933-04-10, M, REITEN
Kappel, Lea, 1931-04-23, F, SCHWIMMEN
Frei, Christina, 1943-01-12, F, RADSPORT
Jager, Uwe, 1926-02-08, M, TANZEN
Schiffer, Florian, 1976-02-07, M, TURNEN
Oster, Katrin, 1981-05-10, F, REITEN
Fischer, Annett, 1965-07-29, F, REITEN
Kaiser, Alexander, 1935-06-12, M, LEICHTATHLETIK
Freitag, Birgit, 1981-01-04, F, SCHWIMMEN
Vogt, Maik, 1923-10-31, M, FECHTEN
Gaertner, Kevin, 1928-06-11, M, RADSPORT
Sommer, Paul, 1975-02-21, M, HANDBALL
Bumgarner, Yvonne, 1966-09-11, F, TANZEN
Schmitt, Jan, 1944-08-13, M, SCHWIMMEN
Urner, Mandy, 1974-07-20, F, HANDBALL
Mahler, Maria, 1933-07-10, F, TURNEN
Pfeifer, Diana, 1919-10-26, F, LEICHTATHLETIK
Huber, Ulrike, 1923-01-25, F, RUDERN
Eggers, Johanna, 1948-01-02, F, SCHWIMMEN
Schaefer, Daniela, 1928-09-20, F, RADSPORT
Walter, Mario, 1964-03-29, M, TURNEN
Baer, Uwe, 1996-09-17, M, FECHTEN
Oster, Ralph, 1943-04-01, M, FUSSBALL
Schuhmacher, Diana, 1930-01-07, F, TURNEN
Kaestner, Laura, 1991-08-08, F, TANZEN
Finkel, Ulrike, 1990-06-10, F, FECHTEN
Urner, Leon, 1972-08-29, M, LEICHTATHLETIK
Hoover, Susanne, 1988-07-16, F, FUSSBALL
Maurer, Ralph, 1997-01-16, M, FECHTEN
Faust, Dennis, 1919-06-05, M, FECHTEN
Gottschalk, Rene, 1995-06-18, M, TANZEN
Muench, Gabriele, 1984-01-21, F, REITEN
Koertig, Janina, 1980-07-24, F, HANDBALL
Zimmer, Swen, 1921-12-24, M, TANZEN
Gottschalk, Tom, 1941-08-07, M, RUDERN
Holzman, Gabriele, 1943-08-17, F, FUSSBALL
Reinhard, Paul, 1996-04-22, M, RUDERN
Hertzog, Tobias, 1928-08-08, M, LEICHTATHLETIK
Metzger, Markus, 1990-08-10, M, FUSSBALL
Herman, Paul, 1948-12-31, M, RUDERN
Himmel, Klaus, 1965-04-21, M, FECHTEN
Dresdner, Lisa, 1970-05-08, F, RADSPORT
Kortig, Robert, 1980-06-29, M, RUDERN
Austerlitz, Ute, 1936-02-15, F, SCHWIMMEN
Klug, Franziska, 1931-04-19, F, RADSPORT
Nadel, Susanne, 1922-11-05, F, HANDBALL
Dresner, Katharina, 1960-04-11, F, TURNEN
Sanger, Florian, 1983-09-30, M, RADSPORT
Theissen, Sven, 1922-06-03, M, LEICHTATHLETIK
Finkel, Mario, 1963-01-16, M, FECHTEN
Bach, Martina, 1999-05-27, F, FUSSBALL
Frey, Max, 1954-04-22, M, HANDBALL
Mueller, David, 1983-08-04, M, RADSPORT
Pfeifer, Katharina, 1943-05-15, F, FUSSBALL
Farber, Torsten, 1955-01-01, M, TURNEN
Thalberg, Daniela, 1918-07-13, F, FECHTEN
Fleischer, Uwe, 1979-01-09, M, HANDBALL
Fuhrmann, Ulrich, 1924-11-27, M, TURNEN
Reiniger, Lukas, 1924-11-19, M, SCHWIMMEN
Schmidt, Leon, 1968-01-16, M, FECHTEN
Neustadt, Klaus, 1965-07-10, M, REITEN
Moeller, Michael, 1934-05-15, M, RADSPORT
Wurfel, Leonie, 1928-09-06, F, LEICHTATHLETIK
Bauer, Stephan, 1934-05-11, M, FUSSBALL
Kohl, Sabrina, 1924-10-16, F, HANDBALL
Holzman, Anna, 1964-12-30, F, LEICHTATHLETIK
Schaefer, Michelle, 1952-06-14, F, TANZEN
Muller, Sabine, 1966-10-26, F, RADSPORT
Lemann, Frank, 1964-11-21, M, LEICHTATHLETIK
Luft, Christian, 1938-12-24, M, FECHTEN
Schuhmacher, Kristian, 1920-03-04, M, HANDBALL
Farber, Ute, 1932-02-09, F, FUSSBALL
Kuester, David, 1921-10-26, M, FUSSBALL
Pfeffer, David, 1969-12-21, M, FECHTEN
Fruehauf, Thorsten, 1988-07-24, M, SCHWIMMEN
Faerber, Erik, 1985-10-08, M, TANZEN
Hahn, Marcel, 1965-05-21, M, TURNEN
Zimmermann, Angelika, 1941-08-21, F, TANZEN
Grunewald, Leah, 1958-01-07, F, TURNEN
Metzger, Juliane, 1949-02-23, F, RADSPORT
Schreiber, Michelle, 1995-12-10, F, SCHWIMMEN
Holzman, Marina, 1979-09-22, F, RUDERN
Schmid, Leonie, 1998-11-13, F, RADSPORT
Baer, Daniel, 1984-10-16, M, RUDERN
Kruger, Yvonne, 1960-10-15, F, REITEN
Baier, Christina, 1989-10-30, F, LEICHTATHLETIK
Bieber, Eric, 1939-06-02, M, SCHWIMMEN
Scholz, Peter, 1918-11-23, M, TURNEN
Freeh, Dominik, 1949-01-04, M, HANDBALL
Schwab, Jan, 1941-05-07, M, REITEN
Becker, Katrin, 1980-03-27, F, RUDERN
Freytag, Sophie, 1988-12-01, F, TANZEN
Dresner, Philipp, 1929-01-07, M, FECHTEN
Gottlieb, Kathrin, 1931-01-26, F, LEICHTATHLETIK
Bauer, Sara, 1972-10-01, F, LEICHTATHLETIK
Fleischer, Katharina, 1934-03-11, F, TURNEN
Schwab, Annett, 1925-10-23, F, RUDERN
Herrmann, Sabrina, 1985-01-04, F, HANDBALL
Jager, Jonas, 1950-07-30, M, RUDERN
Konig, Tobias, 1942-09-02, M, SCHWIMMEN
Fenstermacher, Martin, 1964-07-28, M, FUSSBALL
Braun, Florian, 1990-09-16, M, HANDBALL
Jager, Peter, 1948-06-07, M, RADSPORT
Herzog, Diana, 1955-08-26, F, REITEN
Hofmann, Marcel, 1937-05-05, M, REITEN
Ackerman, Barbara, 1948-06-22, F, FECHTEN
Schulze, Marina, 1982-09-15, F, HANDBALL
Sanger, Dennis, 1940-01-29, M, SCHWIMMEN
Schuster, Luca, 1983-12-02, M, LEICHTATHLETIK
Junker, Patrick, 1919-07-07, M, REITEN
Metzger, Melanie, 1986-09-21, F, FECHTEN
Schroder, Juergen, 1967-11-19, M, TURNEN
Bach, Robert, 1955-07-14, M, FUSSBALL
Sankt, Maximilian, 1997-11-26, M, RADSPORT
Mueller, Tim, 1918-06-06, M, REITEN
Schroeder, Sarah, 1944-09-14, F, RADSPORT
Luft, Silke, 1945-09-21, F, TURNEN
Probst, Stephan, 1992-11-04, M, TANZEN
Bader, Kevin, 1950-08-01, M, RADSPORT
Mehler, Max, 1975-08-21, M, FECHTEN
Holtzmann, Brigitte, 1967-09-05, F, TURNEN
Goldschmidt, Katja, 1988-08-22, F, RUDERN
Baum, Martina, 1957-01-10, F, LEICHTATHLETIK
Beike, Marco, 1989-02-16, M, FUSSBALL
Kappel, Lucas, 1983-01-28, M, LEICHTATHLETIK
Fleischer, Mario, 1955-07-06, M, RUDERN
Vogel, Leah, 1929-08-01, F, RADSPORT
Wolf, Patrick, 1960-05-21, M, SCHWIMMEN
Eichelberger, Tanja, 1997-04-13, F, FUSSBALL
Kuhn, Robert, 1995-05-18, M, TANZEN
Herman, Heike, 1961-07-09, F, FUSSBALL
Nagel, Kerstin, 1969-05-31, F, REITEN
Klein, Lucas, 1933-05-02, M, TANZEN
Neudorf, Lea, 1987-12-03, F, SCHWIMMEN
Waechter, Tanja, 1959-05-21, F, REITEN
Schroeder, Stephanie, 1963-05-24, F, FUSSBALL
Braun, Anja, 1948-12-04, F, RADSPORT
Bayer, Angelika, 1921-02-02, F, REITEN
Werfel, Michael, 1954-04-08, M, SCHWIMMEN
Engel, Ines, 1995-08-12, F, RADSPORT
Freitag, Doreen, 1964-03-15, F, RUDERN
Faerber, Antje, 1931-07-18, F, SCHWIMMEN
Ackermann, Dieter, 1947-11-01, M, FUSSBALL
Keller, Paul, 1961-09-18, M, FUSSBALL
Kalb, Katrin, 1972-03-04, F, TURNEN
Bayer, Tobias, 1962-11-04, M, LEICHTATHLETIK
Hahn, Kristian, 1982-05-16, M, FECHTEN
Schultheiss, Jessika, 1987-09-08, F, FECHTEN
Bohm, Kathrin, 1992-12-02, F, HANDBALL
Schmid, Juergen, 1971-11-03, M, HANDBALL
Berg, Jan, 1947-02-08, M, SCHWIMMEN
Wirtz, Mathias, 1942-03-02, M, RUDERN
Holtzmann, Stephanie, 1997-11-06, F, RADSPORT
Neumann, Uwe, 1994-05-25, M, FECHTEN
Cole, Eric, 1992-04-18, M, TURNEN
Becker, Sophie, 1918-01-21, F, TANZEN
Muller, Gabriele, 1994-02-05, F, TURNEN
Glockner, Kevin, 1993-10-12, M, RUDERN
Hueber, Barbara, 1983-12-27, F, TANZEN
Boehm, Frank, 1998-03-09, M, FUSSBALL
Herrmann, Bernd, 1969-10-16, M, TURNEN
Schaefer, Daniel, 1922-03-13, M, HANDBALL
Eisenhower, Kristian, 1962-11-23, M, REITEN
Schroeder, Joerg, 1932-10-19, M, SCHWIMMEN
Gaertner, Kerstin, 1931-03-05, F, RUDERN
Meyer, Mario, 1923-12-22, M, LEICHTATHLETIK
Schwarz, Ursula, 1971-09-03, F, TANZEN
Ehrlichmann, Jessika, 1930-11-04, F, HANDBALL
Neustadt, Birgit, 1973-10-26, F, RUDERN
Jager, Katja, 1932-05-05, F, TURNEN
Braun, Gabriele, 1998-11-08, F, HANDBALL
Reinhard, Juergen, 1980-05-18, M, SCHWIMMEN
Krause, Felix, 1971-02-13, M, FECHTEN
Daecher, Jan, 1994-10-26, M, RADSPORT
Sankt, Sophia, 1925-09-14, F, TANZEN
Schulze, Maik, 1969-12-05, M, RADSPORT
Schmitz, Julia, 1927-11-08, F, RUDERN
Neumann, Maximilian, 1977-05-04, M, LEICHTATHLETIK
Engel, Antje, 1989-08-08, F, RADSPORT
Engel, Ulrike, 1924-11-17, F, TURNEN
Boehm, Katja, 1932-06-06, F, HANDBALL
Sommer, Jana, 1953-06-18, F, FUSSBALL
Huber, Stephanie, 1956-03-26, F, RADSPORT
Weisz, Phillipp, 1944-09-27, M, SCHWIMMEN
Glockner, Ines, 1997-08-01, F, HANDBALL
Klein, Petra, 1986-11-13, F, RUDERN
Neustadt, Alexander, 1966-11-29, M, TANZEN
Meister, Silke, 1969-07-14, F, RUDERN
Kirsch, Leon, 1955-11-19, M, TURNEN
Nacht, Ursula, 1971-07-09, F, FUSSBALL
Busch, Dieter, 1981-02-20, M, TANZEN
Hertzog, Christian, 1978-09-13, M, HANDBALL
Faust, Klaudia, 1942-12-24, F, FECHTEN
Burger, Julia, 1971-07-04, F, SCHWIMMEN
Neumann, Diana, 1920-05-24, F, HANDBALL
Achen, Uta, 1970-03-04, F, RADSPORT
Freytag, Mandy, 1985-01-21, F, RUDERN
Fisher, Andreas, 1979-07-02, M, HANDBALL
Wolf, Diana, 1994-11-08, F, RADSPORT
Beike, Tobias, 1920-05-08, M, REITEN
Kuefer, Patrick, 1970-10-29, M, LEICHTATHLETIK
Finkel, Jana, 1932-12-21, F, TANZEN
Dietrich, Barbara, 1932-10-28, F, RUDERN
Dresdner, Lukas, 1969-04-30, M, FUSSBALL
Drechsler, Jessica, 1982-02-19, F, LEICHTATHLETIK
Metzger, Ralf, 1946-11-29, M, SCHWIMMEN
Ostermann, Marcel, 1975-12-17, M, FUSSBALL
Ziegler, Kristin, 1978-06-19, F, LEICHTATHLETIK
Schultz, Juergen, 1932-08-29, M, RADSPORT
Schwab, Lucas, 1965-06-28, M, TURNEN
Meier, Janina, 1985-07-24, F, REITEN
Kuster, Paul, 1945-01-22, M, FECHTEN
Kaestner, Stefan, 1994-01-25, M, TANZEN
Barth, Joerg, 1978-04-14, M, RADSPORT
Wexler, Eric, 1933-04-25, M, RADSPORT
Trommler, Christian, 1923-02-15, M, LEICHTATHLETIK
Bachmeier, Tobias, 1933-03-13, M, TURNEN
Friedmann, Mike, 1951-08-17, M, FUSSBALL
Schweizer, Dieter, 1962-10-25, M, REITEN
Abendroth, Melanie, 1920-04-22, F, RUDERN
Schwab, Gabriele, 1942-01-20, F, RADSPORT
Reinhard, Torsten, 1931-10-28, M, FECHTEN
Moench, Lea, 1927-01-28, F, SCHWIMMEN
Amsel, Michael, 1939-09-01, M, SCHWIMMEN
Strauss, Uwe, 1970-02-01, M, TANZEN
Lehmann, Anke, 1990-09-23, F, HANDBALL
Aachen, Vanessa, 1992-09-08, F, LEICHTATHLETIK
Braun, Ralph, 1985-10-15, M, TURNEN
Austerlitz, Juergen, 1939-02-03, M, RUDERN
Zweig, Philipp, 1940-06-26, M, RUDERN
Gerber, Klaus, 1999-05-11, M, TURNEN
Eiffel, Benjamin, 1948-02-20, M, REITEN
Fleischer, Brigitte, 1938-10-06, F, FUSSBALL
Beyer, Ralph, 1927-10-20, M, LEICHTATHLETIK
Zweig, Ulrike, 1990-06-02, F, HANDBALL
Lowe, Max, 1963-07-16, M, RUDERN
Maur, Sara, 1946-08-04, F, REITEN
Faerber, Markus, 1961-10-07, M, FECHTEN
Nagel, Juergen, 1994-01-17, M, REITEN
Hahn, Anna, 1945-08-18, F, FUSSBALL
Kohler, Joerg, 1936-08-30, M, FECHTEN
Amsel, Ursula, 1991-01-09, F, LEICHTATHLETIK
Gerber, Anja, 1978-03-29, F, FUSSBALL
Neustadt, Anke, 1969-10-23, F, FECHTEN
Kluge, Sophia, 1954-03-04, F, LEICHTATHLETIK
Adler, Maik, 1934-11-18, M, TURNEN
Austerlitz, Klaudia, 1997-03-06, F, RADSPORT
Glockner, Phillipp, 1973-12-30, M, FECHTEN
Achen, Jennifer, 1949-04-14, F, RADSPORT
Kuester, Juliane, 1922-12-20, F, RADSPORT
Schaefer, Ines, 1984-09-11, F, FECHTEN
Jager, Ralph, 1917-11-02, M, RADSPORT
Gaertner, Maria, 1927-06-27, F, HANDBALL
Urner, Franziska, 1917-12-09, F, FECHTEN
Wannemaker, Sara, 1992-07-18, F, FECHTEN
Fisher, Anke, 1919-08-24, F, RUDERN
Theissen, Torsten, 1954-03-16, M, TANZEN
Beich, Uwe, 1967-05-21, M, TURNEN
Frey, David, 1956-09-27, M, SCHWIMMEN
Ritter, Ursula, 1929-01-07, F, FUSSBALL
Gerste, Klaudia, 1984-08-06, F, HANDBALL
Kunze, Jan, 1979-08-19, M, FUSSBALL
Diederich, Leonie, 1976-06-25, F, FUSSBALL
Schroeder, Rene, 1967-09-11, M, TANZEN
Lang, Kathrin, 1953-10-01, F, FECHTEN
Wulf, Luca, 1934-10-12, M, TURNEN
Winkel, Sara, 1997-03-28, F, RADSPORT
Farber, Luca, 1923-11-26, M, LEICHTATHLETIK
Maier, Martin, 1998-05-04, M, LEICHTATHLETIK
Loewe, Christin, 1953-01-11, F, RUDERN
Pfeiffer, Ralph, 1994-03-27, M, SCHWIMMEN
Bar, Klaudia, 1965-08-01, F, FECHTEN
Waechter, Anne, 1996-04-10, F, TURNEN
Faust, Christian, 1995-03-18, M, TURNEN
Schulz, Ursula, 1990-09-03, F, SCHWIMMEN
Kastner, Dominik, 1981-07-09, M, TANZEN
Konig, Eric, 1958-08-06, M, RADSPORT
Hueber, Michelle, 1970-12-17, F, TANZEN
Brauer, Gabriele, 1932-05-12, F, TANZEN
Weiss, Kathrin, 1972-04-30, F, RADSPORT
Schaefer, Phillipp, 1929-05-27, M, RADSPORT
Kruger, Jens, 1947-03-18, M, SCHWIMMEN
Bergmann, Leah, 1963-08-09, F, FUSSBALL
Hirsch, Paul, 1990-11-20, M, RUDERN
Hirsch, Thomas, 1918-09-08, M, FECHTEN
Kluge, Ute, 1935-01-30, F, TANZEN
Herz, Ursula, 1922-06-10, F, HANDBALL
Pfeffer, Birgit, 1927-04-30, F, RUDERN
Decker, Matthias, 1972-03-05, M, RADSPORT
Kastner, Thomas, 1962-09-13, M, SCHWIMMEN
Wirth, Anne, 1976-02-20, F, LEICHTATHLETIK
Becker, Anke, 1930-04-24, F, HANDBALL
Abend, Manuela, 1951-10-18, F, HANDBALL
Waechter, Bernd, 1997-07-24, M, RUDERN
Busch, Anne, 1936-12-31, F, SCHWIMMEN
Kaufmann, Frank, 1922-05-08, M, SCHWIMMEN
Drechsler, Mike, 1924-02-21, M, SCHWIMMEN
Lowe, Jessika, 1987-06-14, F, FUSSBALL
Beike, Uwe, 1974-10-28, M, HANDBALL
Schiffer, Kevin, 1972-04-04, M, RADSPORT
Werner, Max, 1945-01-07, M, RUDERN
Bergmann, Steffen, 1987-10-12, M, TURNEN
Konig, Ralf, 1968-05-07, M, RUDERN
Bar, Birgit, 1970-11-17, F, TANZEN
Unger, Sandra, 1957-03-02, F, FUSSBALL
Friedmann, Ursula, 1969-06-10, F, SCHWIMMEN
Abend, Paul, 1924-07-14, M, HANDBALL
Gottschalk, Klaus, 1956-05-11, M, HANDBALL
Baumgaertner, Ulrike, 1988-10-01, F, TANZEN
Kalb, Jan, 1919-04-18, M, HANDBALL
Mueller, Felix, 1926-11-10, M, TANZEN
Wirtz, Dennis, 1974-07-02, M, HANDBALL
Thalberg, Sabrina, 1973-09-25, F, RADSPORT
Eichelberger, Eric, 1960-09-02, M, REITEN
Frei, Lukas, 1941-10-31, M, RADSPORT
Vogt, Jennifer, 1933-11-24, F, FECHTEN
Klug, Ralph, 1985-01-01, M, TANZEN
Wannemaker, Michelle, 1974-02-13, F, REITEN
Frankfurter, Mario, 1924-02-27, M, LEICHTATHLETIK
Freytag, Luca, 1957-05-09, M, RADSPORT
Junker, Marcel, 1920-11-06, M, SCHWIMMEN
Maurer, Sabine, 1979-01-08, F, HANDBALL
Jager, Daniela, 1973-05-20, F, FUSSBALL
Amsel, Martina, 1965-10-07, F, FUSSBALL
Dresner, Bernd, 1941-08-11, M, REITEN
Mauer, Benjamin, 1975-02-14, M, RADSPORT
Lange, Torsten, 1971-09-18, M, RADSPORT
Fruehauf, Daniela, 1984-02-20, F, HANDBALL
Schroeder, Nadine, 1994-03-16, F, SCHWIMMEN
Nussbaum, Jessika, 1922-03-28, F, HANDBALL
Fisher, Stefan, 1997-07-16, M, TANZEN
Fuhrmann, Heike, 1918-12-16, F, REITEN
Schweitzer, Jens, 1941-04-23, M, RUDERN
Herz, Rene, 1976-06-13, M, RUDERN
Schiffer, Erik, 1928-01-26, M, TURNEN
Schaefer, Susanne, 1995-08-19, F, TURNEN
Zimmerman, Karin, 1930-04-02, F, TURNEN
Gerber, Katrin, 1983-02-05, F, SCHWIMMEN
Weisz, Joerg, 1965-06-22, M, REITEN
Kruger, Tobias, 1960-06-07, M, LEICHTATHLETIK
Bergmann, Katja, 1978-12-02, F, LEICHTATHLETIK
Gerber, Andreas, 1979-09-03, M, HANDBALL
Shuster, Claudia, 1925-11-12, F, HANDBALL
Weissmuller, Sabine, 1997-02-28, F, RUDERN
Schweizer, Jens, 1974-12-03, M, RADSPORT
Fisher, Stefan, 1950-05-21, M, RUDERN
Baier, Marina, 1936-12-18, F, SCHWIMMEN
Mayer, Sabine, 1937-07-14, F, FUSSBALL
Fuerst, Jana, 1954-03-30, F, FUSSBALL
Eisenhauer, Dieter, 1981-12-16, M, FECHTEN
Vogel, Nadine, 1952-07-06, F, HANDBALL
Faerber, Matthias, 1956-07-01, M, RADSPORT
Koertig, Leonie, 1974-07-24, F, FUSSBALL
Loewe, Christin, 1961-02-22, F, RADSPORT
Blau, Petra, 1959-09-15, F, RADSPORT
Burger, Marko, 1937-05-11, M, RADSPORT
Fruehauf, Lisa, 1962-11-21, F, FECHTEN
Hertzog, Marina, 1963-11-22, F, TANZEN
Freytag, Robert, 1994-08-19, M, HANDBALL
Hertz, Michael, 1945-11-22, M, TURNEN
Beyer, Kristian, 1994-01-05, M, TURNEN
Schulze, Robert, 1938-10-01, M, REITEN
Hartmann, Johanna, 1918-03-02, F, REITEN
Ackerman, Vanessa, 1945-10-03, F, SCHWIMMEN
Schaefer, Ursula, 1955-10-03, F, SCHWIMMEN
Ackermann, Ines, 1925-08-18, F, FUSSBALL
Schroeder, Claudia, 1929-12-23, F, FECHTEN
Farber, Katharina, 1938-05-28, F, HANDBALL
Koertig, Katharina, 1918-01-20, F, HANDBALL
Saenger, Markus, 1939-09-15, M, FUSSBALL
Pfeifer, Kathrin, 1979-02-09, F, TURNEN
Wexler, Ute, 1989-04-29, F, FUSSBALL
Vogler, Mario, 1996-10-31, M, TANZEN
Schuhmacher, Uta, 1943-11-30, F, LEICHTATHLETIK
Faerber, Antje, 1981-07-29, F, TURNEN
Schuster, Sebastian, 1920-10-09, M, HANDBALL
Cole, Kristian, 1942-08-07, M, SCHWIMMEN
Lange, Julia, 1956-08-25, F, FUSSBALL
Eiffel, Anja, 1953-05-18, F, RUDERN
Maurer, Sven, 1973-03-30, M, LEICHTATHLETIK
Brauer, Michael, 1922-11-23, M, FECHTEN
Gaertner, Thomas, 1962-12-24, M, RUDERN
Dresner, Thomas, 1980-01-28, M, RUDERN
Mauer, Barbara, 1976-07-15, F, REITEN
Wechsler, Thorsten, 1983-01-31, M, TURNEN
Wurfel, Dirk, 1986-03-12, M, FECHTEN
Gerber, Mike, 1966-10-17, M, LEICHTATHLETIK
Amsel, Dominik, 1970-07-27, M, RUDERN
Fried, Luca, 1955-04-19, M, RADSPORT
Hertzog, Michelle, 1969-08-16, F, SCHWIMMEN
Dreher, Daniela, 1962-01-20, F, SCHWIMMEN
