Abt, Andreas, 1944-01-02, M, REITEN
Keller, Dirk, 1927-04-30, M, LEICHTATHLETIK
Kuefer, Dirk, 1947-04-30, M, FUSSBALL
Konig, Daniel, 1977-04-30, M, FUSSBALL
Krause, Dieter, 1984-04-30, M, RADSPORT
Krueger, Dominik, 1931-08-31, M, TURNEN
Kappel, Dieter, 1946-10-31, M, REITEN
Kuhn, Dirk, 1980-10-31, M, HANDBALL
Kuhn, Erik, 1989-07-01, M, REITEN
Konig, Eric, 1958-08-06, M, RADSPORT
Krause, Eric, 1926-08-12, M, REITEN
Kruger, Eric, 1931-09-12, M, LEICHTATHLETIK
Kluge, Erik, 1939-09-12, M, LEICHTATHLETIK
Kaiser, Eric, 1967-01-16, M, RADSPORT
Kalb, Eric, 1969-07-17, M, SCHWIMMEN
Koch, Erik, 1988-11-18, M, TANZEN
Koertig, Erik, 1930-12-18, M, RADSPORT
Kirsch, Eric, 1962-12-18, M, SCHWIMMEN
Kaiser, Eric, 1953-02-21, M, SCHWIMMEN
Kastner, Erik, 1999-04-22, M, RADSPORT
Klug, Eric, 1941-05-22, M, FECHTEN
Kappel, Erik, 1983-05-22, M, TANZEN
Kruger, Eric, 1950-10-23, M, RUDERN
Krueger, Erik, 1979-10-23, M, FUSSBALL
Krause, Erik, 1948-11-23, M, HANDBALL
Keller, Erik, 1958-10-28, M, RADSPORT
Kappel, Erik, 1987-12-29, M, TURNEN
Koenig, Erik, 1988-12-29, M, SCHWIMMEN
Kastner, Felix, 1923-01-02, M, TANZEN
Koehler, Frank, 1941-02-02, M, FECHTEN
Kalb, Felix, 1973-02-02, M, LEICHTATHLETIK
Kruger, Florian, 1985-06-03, M, HANDBALL
Koertig, Franziska, 1988-06-03, F, RADSPORT
Kortig, Frank, 1997-07-03, M, REITEN
Kalb, Florian, 1979-09-04, M, REITEN
Koch, Franziska, 1923-03-08, F, TANZEN
Kaufmann, Frank, 1922-05-08, M, SCHWIMMEN
Koehler, Felix, 1994-05-08, M, FUSSBALL
Krueger, Frank, 1927-08-09, M, TANZEN
Klein, Florian, 1949-10-09, M, FUSSBALL
Krueger, Frank, 1967-12-10, M, HANDBALL
Klug, Felix, 1993-12-10, M, TURNEN
Koenig, Florian, 1955-01-13, M, FECHTEN
Koehler, Felix, 1982-01-13, M, LEICHTATHLETIK
Kaiser, Florian, 1943-02-13, M, TANZEN
Kaiser, Franziska, 1944-02-13, F, HANDBALL
Krause, Felix, 1971-02-13, M, FECHTEN
Kortig, Felix, 1947-06-14, M, RUDERN
Kalb, Franziska, 1956-07-14, F, RUDERN
Kaufmann, Felix, 1956-08-14, M, HANDBALL
Krueger, Felix, 1951-10-15, M, TURNEN
Konig, Frank, 1927-12-15, M, SCHWIMMEN
Koenig, Florian, 1960-12-15, M, HANDBALL
Klug, Franziska, 1931-04-19, F, RADSPORT
Krueger, Felix, 1971-04-19, M, TURNEN
Kruger, Felix, 1931-05-19, M, LEICHTATHLETIK
Klug, Florian, 1981-06-19, M, REITEN
Keller, Franziska, 1931-10-20, F, RUDERN
Krueger, Franziska, 1969-11-20, F, HANDBALL
Kruger, Felix, 1988-02-24, M, REITEN
Koch, Florian, 1994-02-24, M, FECHTEN
Keller, Frank, 1928-09-25, M, TURNEN
Kaestner, Franziska, 1922-11-26, F, HANDBALL
Koch, Florian, 1930-01-29, M, LEICHTATHLETIK
Kuester, Frank, 1973-01-29, M, FUSSBALL
Krause, Frank, 1987-05-30, M, FUSSBALL
Kohler, Frank, 1990-07-30, M, FUSSBALL
Kaiser, Felix, 1920-12-31, M, TANZEN
Krueger, Gabriele, 1983-04-05, F, SCHWIMMEN
Klein, Gabriele, 1983-07-06, F, SCHWIMMEN
Kaiser, Gabriele, 1985-11-12, F, FECHTEN
Kappel, Gabriele, 1924-12-12, F, RADSPORT
Klein, Gabriele, 1962-03-16, F, SCHWIMMEN
Kappel, Gabriele, 1970-11-23, F, SCHWIMMEN
Kirsch, Gabriele, 1927-04-27, F, FECHTEN
Kuefer, Heike, 1998-11-04, F, LEICHTATHLETIK
Koehler, Heike, 1930-05-19, F, FUSSBALL
Kuhn, Heike, 1985-10-20, F, FECHTEN
Kortig, Ines, 1962-05-05, F, FUSSBALL
Kortig, Ines, 1942-08-06, F, TURNEN
Koehler, Ines, 1948-07-16, F, FUSSBALL
Kuefer, Ines, 1919-12-23, F, TANZEN
Koenig, Ines, 1951-07-27, F, TANZEN
Klein, Ines, 1951-01-31, F, SCHWIMMEN
Kuester, Jennifer, 1930-04-02, F, TANZEN
Kluge, Janina, 1958-04-02, F, SCHWIMMEN
Kaufmann, Jessika, 1969-04-02, F, TANZEN
Keller, Jonas, 1936-05-02, M, FECHTEN
Kluge, Juergen, 1984-05-02, M, LEICHTATHLETIK
Klein, Jessika, 1995-05-02, F, RADSPORT
Kaestner, Joerg, 1917-08-03, M, FECHTEN
Kirsch, Jan, 1929-08-03, M, LEICHTATHLETIK
Klein, Jana, 1930-08-03, F, RUDERN
Kastner, Jana, 1955-08-03, F, SCHWIMMEN
Krueger, Joerg, 1923-09-03, M, REITEN
Krueger, Jens, 1985-10-03, M, FECHTEN
Koertig, Jessika, 1987-10-03, F, LEICHTATHLETIK
Kaiser, Janina, 1942-01-07, F, LEICHTATHLETIK
Koehler, Jessika, 1960-01-07, F, SCHWIMMEN
Kaiser, Janina, 1963-01-07, F, SCHWIMMEN
Koenig, Jennifer, 1923-02-07, F, RUDERN
Kaestner, Jonas, 1934-02-07, M, RADSPORT
Koch, Janina, 1959-02-07, F, FECHTEN
Kunze, Johanna, 1972-02-07, F, SCHWIMMEN
Koehler, Janina, 1974-02-07, F, RUDERN
Kunze, Juergen, 1945-03-07, M, TURNEN
Krueger, Jan, 1977-03-07, M, TURNEN
Klug, Julia, 1965-06-08, F, SCHWIMMEN
Koch, Jan, 1989-06-08, M, HANDBALL
Kortig, Jennifer, 1929-07-08, F, RADSPORT
Krueger, Jan, 1979-07-08, M, REITEN
Kuester, Joerg, 1939-08-08, M, LEICHTATHLETIK
Kruger, Juliane, 1947-08-08, F, REITEN
Krueger, Johanna, 1954-08-08, F, TURNEN
Kortig, Jana, 1923-11-09, F, TANZEN
Kaufmann, Jonas, 1927-11-09, M, RADSPORT
Kaufmann, Juergen, 1947-11-09, M, RADSPORT
Koertig, Janina, 1986-11-09, F, HANDBALL
Kaestner, Jan, 1935-12-09, M, REITEN
Kohler, Jens, 1980-12-09, M, HANDBALL
Kalb, Juergen, 1982-12-09, M, TURNEN
Kruger, Julia, 1990-12-09, F, TURNEN
Klein, Jennifer, 1934-01-12, F, HANDBALL
Kunze, Jessika, 1974-01-12, F, REITEN
Koehler, Juergen, 1978-01-12, M, FUSSBALL
Keller, Joerg, 1988-01-12, M, TURNEN
Klein, Joerg, 1919-04-13, M, FUSSBALL
Krause, Julia, 1958-04-13, F, SCHWIMMEN
Kunze, Janina, 1971-04-13, F, TURNEN
Koehler, Jana, 1979-04-13, F, FUSSBALL
Kaufmann, Janina, 1938-05-13, F, HANDBALL
Koertig, Jens, 1949-05-13, M, TURNEN
Kalb, Janina, 1974-05-13, F, RUDERN
Kaiser, Julia, 1975-05-13, F, FECHTEN
Krause, Juliane, 1920-06-13, F, RUDERN
Kuster, Janina, 1991-06-13, F, HANDBALL
Krueger, Jonas, 1999-06-13, M, REITEN
Konig, Jan, 1962-10-14, M, RADSPORT
Klein, Janina, 1972-10-14, F, SCHWIMMEN
Koehler, Jessika, 1987-10-14, F, RADSPORT
Kaufmann, Jana, 1996-10-14, F, TURNEN
Koertig, Joerg, 1917-11-14, M, TANZEN
Kaestner, Jessika, 1921-11-14, F, REITEN
Koenig, Jessika, 1965-11-14, F, HANDBALL
Kruger, Jens, 1947-03-18, M, SCHWIMMEN
Kirsch, Joerg, 1982-03-18, M, HANDBALL
Krause, Jana, 1988-03-18, F, RUDERN
Kalb, Jan, 1919-04-18, M, HANDBALL
Koertig, Jessica, 1975-04-18, F, LEICHTATHLETIK
Kastner, Johanna, 1945-07-19, F, LEICHTATHLETIK
Kuhn, Jana, 1968-08-19, F, FECHTEN
Kunze, Jan, 1979-08-19, M, FUSSBALL
Kuster, Jessika, 1937-09-19, F, FECHTEN
Krueger, Jessika, 1939-09-19, F, FECHTEN
Krause, Jessica, 1949-09-19, F, RADSPORT
Kluge, Juergen, 1920-12-20, M, FECHTEN
Kuester, Juliane, 1922-12-20, F, RADSPORT
Kunze, Jana, 1930-12-20, F, LEICHTATHLETIK
Kalb, Julia, 1938-12-20, F, FECHTEN
Koehler, Johanna, 1925-01-23, F, SCHWIMMEN
Koenig, Jan, 1944-01-23, M, SCHWIMMEN
Koehler, Jennifer, 1953-01-23, F, RADSPORT
Kuhn, Jonas, 1935-02-23, M, RUDERN
Kruger, Johanna, 1976-02-23, F, REITEN
Kuster, Jennifer, 1981-02-23, F, TANZEN
Krueger, Joerg, 1987-05-24, M, HANDBALL
Kortig, Jens, 1921-06-24, M, FECHTEN
Kortig, Jonas, 1919-07-24, M, SCHWIMMEN
Koenig, Jessica, 1926-07-24, F, HANDBALL
Klug, Joerg, 1939-07-24, M, REITEN
Koenig, Jan, 1943-07-24, M, RADSPORT
Koertig, Janina, 1980-07-24, F, HANDBALL
Kaestner, Juliane, 1936-10-25, F, HANDBALL
Konig, Jan, 1984-10-25, M, FECHTEN
Koch, Jessika, 1925-12-25, F, RUDERN
Koertig, Jana, 1935-12-25, F, FECHTEN
Kluge, Jonas, 1955-12-25, M, REITEN
Kohler, Jennifer, 1956-12-25, F, SCHWIMMEN
Koenig, Juergen, 1972-12-25, M, RADSPORT
Koch, Jonas, 1921-03-29, M, RADSPORT
Kaiser, Jana, 1970-03-29, F, HANDBALL
Koehler, Janina, 1985-03-29, F, LEICHTATHLETIK
Keller, Jens, 1986-05-29, M, TURNEN
Koenig, Janina, 1922-08-30, F, RUDERN
Kohler, Joerg, 1936-08-30, M, FECHTEN
Keller, Juliane, 1948-08-30, F, SCHWIMMEN
Koenig, Janina, 1958-08-30, F, FECHTEN
Krueger, Jessica, 1978-08-30, F, TANZEN
Kalb, Joerg, 1960-09-30, M, RUDERN
Klug, Jens, 1961-09-30, M, HANDBALL
Kaiser, Jens, 1997-09-30, M, LEICHTATHLETIK
Klug, Katrin, 1917-12-01, F, RADSPORT
Kaiser, Kathrin, 1937-02-04, F, FECHTEN
Koenig, Kristian, 1961-02-04, M, TANZEN
Kalb, Katrin, 1972-03-04, F, TURNEN
Krueger, Kevin, 1991-03-04, M, HANDBALL
Kortig, Klaudia, 1932-05-05, F, FECHTEN
Keller, Kathrin, 1938-05-05, F, REITEN
Kohler, Karin, 1958-05-05, F, FUSSBALL
Keller, Karolin, 1961-05-05, F, RADSPORT
Klein, Kevin, 1919-07-05, M, FECHTEN
Kaufmann, Klaus, 1925-07-05, M, LEICHTATHLETIK
Kappel, Klaudia, 1992-07-05, F, TANZEN
Kuefer, Kristin, 1935-12-06, F, HANDBALL
Kalb, Karin, 1952-12-06, F, RUDERN
Kirsch, Katharina, 1936-01-09, F, TURNEN
Krueger, Kevin, 1942-03-10, M, RADSPORT
Kaiser, Karin, 1957-03-10, F, LEICHTATHLETIK
Kuster, Katja, 1962-03-10, F, TANZEN
Kohl, Katja, 1991-03-10, F, FUSSBALL
Kappel, Katja, 1929-05-10, F, FECHTEN
Koenig, Klaudia, 1946-05-10, F, LEICHTATHLETIK
Krueger, Kristian, 1965-05-10, M, REITEN
Koch, Kristin, 1946-06-10, F, FECHTEN
Kunze, Karin, 1960-06-10, F, HANDBALL
Koenig, Katharina, 1970-10-11, F, FUSSBALL
Kohl, Kristian, 1977-10-11, M, RADSPORT
Koehler, Kathrin, 1950-01-15, F, TANZEN
Kruger, Kathrin, 1952-01-15, F, FECHTEN
Krause, Klaudia, 1955-01-15, F, RUDERN
Koertig, Karin, 1999-01-15, F, LEICHTATHLETIK
Kohler, Kristian, 1928-03-15, M, REITEN
Kalb, Karin, 1934-03-15, F, SCHWIMMEN
Kuster, Kathrin, 1935-03-15, F, FECHTEN
Krueger, Klaudia, 1940-03-15, F, FUSSBALL
Kirsch, Katharina, 1942-04-15, F, RUDERN
Kuester, Karin, 1965-04-15, F, REITEN
Krueger, Kevin, 1985-04-15, M, LEICHTATHLETIK
Kunze, Katharina, 1989-04-15, F, REITEN
Kohler, Kevin, 1917-06-16, M, LEICHTATHLETIK
Kluge, Katrin, 1955-06-16, F, HANDBALL
Koehler, Kerstin, 1976-06-16, F, LEICHTATHLETIK
Klein, Kerstin, 1983-06-16, F, TURNEN
Koch, Karin, 1985-06-16, F, RADSPORT
Konig, Katharina, 1950-08-16, F, REITEN
Klug, Klaudia, 1976-08-16, F, RADSPORT
Kohler, Katharina, 1940-11-17, F, TURNEN
Kohler, Kevin, 1930-12-17, M, RUDERN
Koertig, Katharina, 1918-01-20, F, HANDBALL
Klug, Kevin, 1944-01-20, M, RADSPORT
Kirsch, Kristin, 1982-01-20, F, FECHTEN
Kappel, Katrin, 1975-02-20, F, RUDERN
Klug, Karin, 1981-02-20, F, TURNEN
Krueger, Klaudia, 1941-04-21, F, SCHWIMMEN
Koch, Karin, 1946-04-21, F, RADSPORT
Kastner, Katharina, 1925-06-21, F, RUDERN
Keller, Katja, 1927-06-21, F, RUDERN
Kaestner, Karin, 1964-06-21, F, REITEN
Kaufmann, Klaus, 1967-06-21, M, RADSPORT
Kunze, Kristian, 1984-06-21, M, TANZEN
Koenig, Kevin, 1931-07-21, M, SCHWIMMEN
Kalb, Klaus, 1989-07-21, M, TURNEN
Kortig, Klaudia, 1923-09-22, F, RUDERN
Kaufmann, Kathrin, 1969-09-22, F, REITEN
Koertig, Kathrin, 1995-09-22, F, RUDERN
Kohler, Kathrin, 1988-04-26, F, HANDBALL
Kunze, Kerstin, 1979-05-26, F, TURNEN
Koenig, Katharina, 1987-05-26, F, SCHWIMMEN
Kuhn, Kristian, 1935-07-27, M, RUDERN
Kuhn, Kristian, 1927-09-27, M, LEICHTATHLETIK
Koehler, Klaudia, 1982-09-27, F, REITEN
Koch, Klaus, 1985-09-27, M, TURNEN
Kalb, Karolin, 1925-12-28, F, FECHTEN
Kastner, Klaudia, 1923-03-31, F, TURNEN
Kirsch, Klaudia, 1945-03-31, F, SCHWIMMEN
Kruger, Luca, 1932-01-01, M, HANDBALL
Kaestner, Luca, 1935-02-01, M, HANDBALL
Koehler, Leonie, 1925-04-02, F, RUDERN
Kuefer, Lea, 1946-04-02, F, SCHWIMMEN
Kaestner, Lukas, 1997-04-02, M, TANZEN
Klein, Lucas, 1933-05-02, M, TANZEN
Kruger, Leah, 1952-05-02, F, TANZEN
Koertig, Leah, 1926-06-02, F, FUSSBALL
Kirsch, Lea, 1949-06-02, F, RADSPORT
Koehler, Luca, 1977-06-02, M, TANZEN
Klug, Leon, 1978-06-02, M, FECHTEN
Kaufmann, Lea, 1991-06-02, F, FUSSBALL
Kuester, Leonie, 1992-07-02, F, FECHTEN
Kohl, Leon, 1918-09-03, M, FUSSBALL
Klein, Luca, 1923-09-03, M, REITEN
Kuster, Leonie, 1968-09-03, F, FUSSBALL
Koehler, Luca, 1946-10-03, M, FECHTEN
Koenig, Laura, 1958-10-03, F, TANZEN
Kohler, Lisa, 1980-10-03, F, SCHWIMMEN
Kappel, Lea, 1993-11-03, F, SCHWIMMEN
Kaestner, Lucas, 1921-12-03, M, FECHTEN
Konig, Laura, 1972-12-03, F, TURNEN
Kohl, Leah, 1921-03-07, F, TURNEN
Koertig, Laura, 1967-03-07, F, RUDERN
Klug, Lukas, 1983-03-07, M, FUSSBALL
Koertig, Leon, 1996-04-07, M, FECHTEN
Krueger, Lucas, 1953-05-07, M, LEICHTATHLETIK
Kuefer, Lea, 1929-08-08, F, RADSPORT
Koenig, Lisa, 1947-08-08, F, SCHWIMMEN
Kappel, Lea, 1976-08-08, F, TANZEN
Kruger, Luca, 1979-08-08, M, RUDERN
Kunze, Leonie, 1980-08-08, F, HANDBALL
Kaestner, Laura, 1991-08-08, F, TANZEN
Koertig, Laura, 1956-09-08, F, TANZEN
Kappel, Luca, 1967-09-08, M, HANDBALL
Keller, Leah, 1933-10-08, F, FUSSBALL
Kaufmann, Laura, 1953-10-08, F, FUSSBALL
Kortig, Leonie, 1964-10-08, F, LEICHTATHLETIK
Kastner, Lea, 1918-01-12, F, HANDBALL
Klug, Leon, 1930-01-12, M, RADSPORT
Kuhn, Lisa, 1954-01-12, F, REITEN
Kaufmann, Lisa, 1991-01-12, F, FECHTEN
Kruger, Laura, 1995-02-12, F, FUSSBALL
Kunze, Lukas, 1960-03-12, M, TANZEN
Krause, Lena, 1985-03-12, F, SCHWIMMEN
Kuster, Laura, 1999-03-12, F, FUSSBALL
Koehler, Leonie, 1919-05-13, F, LEICHTATHLETIK
Kuester, Leon, 1924-05-13, M, RADSPORT
Kalb, Lucas, 1998-06-13, M, TURNEN
Koenig, Lena, 1917-08-13, F, FECHTEN
Koch, Luca, 1968-08-13, M, TANZEN
Kalb, Laura, 1971-08-13, F, REITEN
Krause, Lisa, 1924-10-14, F, LEICHTATHLETIK
Kuhn, Leonie, 1947-11-14, F, LEICHTATHLETIK
Kuhn, Lucas, 1968-11-14, M, RADSPORT
Klug, Lukas, 1919-12-14, M, RADSPORT
Kohler, Lukas, 1938-12-14, M, FECHTEN
Koenig, Lukas, 1945-12-14, M, HANDBALL
Kaufmann, Lena, 1922-01-17, F, SCHWIMMEN
Koehler, Lena, 1952-01-17, F, TANZEN
Koertig, Lisa, 1926-04-18, F, FECHTEN
Konig, Lisa, 1932-04-18, F, FUSSBALL
Kunze, Lisa, 1932-05-18, F, HANDBALL
Kalb, Leah, 1938-05-18, F, FUSSBALL
Kohler, Lisa, 1948-05-18, F, SCHWIMMEN
Klein, Leon, 1951-06-18, M, SCHWIMMEN
Koertig, Lukas, 1977-06-18, M, TURNEN
Koehler, Leonie, 1989-08-19, F, SCHWIMMEN
Koenig, Lea, 1923-09-19, F, TURNEN
Koenig, Lea, 1969-09-19, F, SCHWIMMEN
Kohler, Lisa, 1937-10-19, F, LEICHTATHLETIK
Kuhn, Lukas, 1952-10-19, M, SCHWIMMEN
Kaufmann, Leah, 1956-10-19, F, SCHWIMMEN
Kluge, Leonie, 1984-10-19, F, RUDERN
Kirsch, Leon, 1955-11-19, M, TURNEN
Kirsch, Lena, 1949-02-23, F, LEICHTATHLETIK
Kuester, Lukas, 1953-02-23, M, RADSPORT
Kuefer, Lisa, 1956-02-23, F, LEICHTATHLETIK
Koch, Lena, 1948-03-23, F, FUSSBALL
Kappel, Lea, 1931-04-23, F, SCHWIMMEN
Koehler, Lena, 1940-04-23, F, FECHTEN
Koehler, Lea, 1944-04-23, F, LEICHTATHLETIK
Koertig, Leonie, 1974-07-24, F, FUSSBALL
Koenig, Laura, 1989-08-24, F, TURNEN
Kluge, Luca, 1997-08-24, M, REITEN
Kaufmann, Leah, 1945-09-24, F, FUSSBALL
Kunze, Leon, 1967-09-24, M, RADSPORT
Kluge, Lukas, 1996-09-24, M, HANDBALL
Koehler, Leah, 1975-11-25, F, FUSSBALL
Kastner, Lukas, 1996-11-25, M, TANZEN
Kohl, Leonie, 1936-12-25, F, RADSPORT
Kuster, Lukas, 1957-01-28, M, FECHTEN
Kappel, Lucas, 1983-01-28, M, LEICHTATHLETIK
Kohler, Lukas, 1935-02-28, M, REITEN
Koenig, Laura, 1993-02-28, F, TANZEN
Kalb, Lukas, 1987-05-29, M, REITEN
Kuster, Lea, 1945-06-29, F, HANDBALL
Kluge, Lena, 1969-06-29, F, LEICHTATHLETIK
Kuhn, Leonie, 1932-07-29, F, SCHWIMMEN
Keller, Leah, 1970-07-29, F, FECHTEN
Kaestner, Leonie, 1984-07-29, F, TANZEN
Kuester, Lucas, 1930-10-30, M, TURNEN
Koehler, Leah, 1939-10-30, F, FUSSBALL
Keller, Leonie, 1996-10-30, F, FUSSBALL
Kruger, Laura, 1920-11-30, F, FUSSBALL
Konig, Lena, 1954-11-30, F, FUSSBALL
Kirsch, Laura, 1996-11-30, F, HANDBALL
Koch, Lisa, 1945-12-30, F, RADSPORT
Kuester, Leonie, 1974-12-30, F, RADSPORT
Kirsch, Marina, 1926-03-04, F, RUDERN
Koehler, Marina, 1976-03-04, F, FECHTEN
Kaufmann, Marco, 1977-03-04, M, SCHWIMMEN
Kuefer, Manuela, 1932-04-04, F, REITEN
Kirsch, Mario, 1976-04-04, M, HANDBALL
Kuhn, Marie, 1997-04-04, F, RUDERN
Kaestner, Marko, 1998-04-04, M, FECHTEN
Klein, Michelle, 1977-08-05, F, RADSPORT
Kruger, Martin, 1978-08-05, M, REITEN
Kuster, Marcel, 1918-09-05, M, RUDERN
Kappel, Maria, 1925-09-05, F, TURNEN
Kuefer, Max, 1926-09-05, M, SCHWIMMEN
Konig, Michelle, 1966-09-05, F, RUDERN
Kuester, Maik, 1984-09-05, M, FECHTEN
Kohl, Mike, 1937-12-06, M, LEICHTATHLETIK
Koertig, Maximilian, 1983-12-06, M, FUSSBALL
Krueger, Michael, 1984-12-06, M, RUDERN
Koenig, Manuela, 1921-01-09, F, LEICHTATHLETIK
Klug, Max, 1942-01-09, M, SCHWIMMEN
Kortig, Mike, 1943-01-09, M, TANZEN
Kunze, Melanie, 1946-01-09, F, RADSPORT
Kuster, Michael, 1954-01-09, M, RADSPORT
Kaestner, Marcel, 1964-01-09, M, RUDERN
Kaiser, Marko, 1988-01-09, M, RUDERN
Krause, Martin, 1939-02-09, M, HANDBALL
Koenig, Maria, 1970-02-09, F, SCHWIMMEN
Koertig, Manuela, 1993-02-09, F, FUSSBALL
Koehler, Marko, 1942-06-10, M, TURNEN
Kirsch, Marco, 1944-06-10, M, LEICHTATHLETIK
Kirsch, Marko, 1955-06-10, M, TURNEN
Koenig, Matthias, 1973-06-10, M, TANZEN
Kuhn, Marco, 1988-06-10, M, LEICHTATHLETIK
Kortig, Marko, 1994-06-10, M, FUSSBALL
Kortig, Monika, 1935-07-10, F, TURNEN
Kohl, Marco, 1997-07-10, M, LEICHTATHLETIK
Kruger, Max, 1972-10-11, M, RUDERN
Koenig, Marko, 1979-10-11, M, TANZEN
Kirsch, Monika, 1993-10-11, F, FECHTEN
Koehler, Marcel, 1996-10-11, M, SCHWIMMEN
Kruger, Maik, 1998-10-11, M, SCHWIMMEN
Koch, Mandy, 1937-11-11, F, LEICHTATHLETIK
Koehler, Marco, 1943-11-11, M, RUDERN
Kirsch, Manuela, 1995-11-11, F, TANZEN
Kluge, Mario, 1935-12-11, M, REITEN
Klug, Marko, 1966-12-11, M, SCHWIMMEN
Kaufmann, Matthias, 1971-12-11, M, FECHTEN
Konig, Matthias, 1925-04-15, M, FUSSBALL
Krause, Michelle, 1927-04-15, F, RADSPORT
Klug, Marko, 1928-04-15, M, HANDBALL
Krueger, Matthias, 1979-04-15, M, HANDBALL
Kluge, Martina, 1923-05-15, F, LEICHTATHLETIK
Kastner, Matthias, 1933-05-15, M, REITEN
Krueger, Max, 1959-05-15, M, SCHWIMMEN
Koenig, Mike, 1960-05-15, M, FUSSBALL
Kuefer, Mathias, 1966-05-15, M, SCHWIMMEN
Koenig, Markus, 1987-05-15, M, FUSSBALL
Kohler, Maik, 1917-09-16, M, TANZEN
Kuefer, Marko, 1935-09-16, M, FECHTEN
Kuester, Martin, 1940-09-16, M, LEICHTATHLETIK
Konig, Marco, 1953-09-16, M, RADSPORT
Kaiser, Marie, 1954-09-16, F, FUSSBALL
Kohler, Mario, 1965-09-16, M, TANZEN
Krueger, Marco, 1966-09-16, M, HANDBALL
Kohler, Marco, 1970-09-16, M, FUSSBALL
Kastner, Markus, 1976-09-16, M, HANDBALL
Kruger, Marco, 1918-10-16, M, HANDBALL
Kuhn, Marcel, 1920-10-16, M, SCHWIMMEN
Kaiser, Markus, 1921-10-16, M, SCHWIMMEN
Kohler, Melanie, 1935-10-16, F, SCHWIMMEN
Koertig, Marie, 1937-10-16, F, REITEN
Kaiser, Marko, 1942-10-16, M, RADSPORT
Kuefer, Marie, 1945-10-16, F, RUDERN
Kuster, Marcel, 1950-10-16, M, TANZEN
Kunze, Marcel, 1958-10-16, M, RUDERN
Kohler, Monika, 1959-10-16, F, FECHTEN
Kohler, Mathias, 1977-10-16, M, TANZEN
Koertig, Martin, 1932-02-20, M, TANZEN
Kappel, Mathias, 1948-02-20, M, RUDERN
Koehler, Manuela, 1949-02-20, F, HANDBALL
Kuhn, Max, 1957-02-20, M, RADSPORT
Kuster, Max, 1972-02-20, M, RUDERN
Kaiser, Mandy, 1932-03-20, F, LEICHTATHLETIK
Koch, Melanie, 1959-03-20, F, TANZEN
Krause, Mathias, 1989-03-20, M, LEICHTATHLETIK
Kirsch, Mathias, 1996-03-20, M, HANDBALL
Kruger, Matthias, 1933-07-21, M, LEICHTATHLETIK
Kuefer, Maik, 1949-07-21, M, SCHWIMMEN
Klug, Michelle, 1971-07-21, F, RADSPORT
Koertig, Manuela, 1982-07-21, F, TURNEN
Kruger, Marco, 1983-07-21, M, TANZEN
Kortig, Maik, 1989-07-21, M, SCHWIMMEN
Kohl, Mathias, 1923-08-21, M, RADSPORT
Kuster, Matthias, 1928-08-21, M, REITEN
Koenig, Marina, 1932-08-21, F, FUSSBALL
Kaestner, Michelle, 1934-08-21, F, FECHTEN
Kappel, Mario, 1962-08-21, M, HANDBALL
Krueger, Melanie, 1977-08-21, F, FUSSBALL
Kuster, Marco, 1920-12-22, M, TURNEN
Koehler, Mike, 1921-12-22, M, FECHTEN
Krueger, Marco, 1927-12-22, M, REITEN
Kortig, Matthias, 1957-12-22, M, LEICHTATHLETIK
Krueger, Marcel, 1960-12-22, M, FECHTEN
Kluge, Mario, 1963-12-22, M, RUDERN
Kohler, Marko, 1984-12-22, M, FECHTEN
Kalb, Mandy, 1926-01-25, F, LEICHTATHLETIK
Kuefer, Michelle, 1948-01-25, F, HANDBALL
Kunze, Marcel, 1952-01-25, M, REITEN
Koch, Maria, 1962-01-25, F, RADSPORT
Krueger, Marco, 1963-01-25, M, TANZEN
Keller, Maik, 1969-01-25, M, RUDERN
Konig, Michael, 1971-01-25, M, FECHTEN
Klein, Marcel, 1925-05-26, M, SCHWIMMEN
Kohl, Mathias, 1938-05-26, M, SCHWIMMEN
Kuhn, Manuela, 1963-05-26, F, RADSPORT
Kuefer, Maik, 1966-05-26, M, RUDERN
Koehler, Marina, 1992-05-26, F, TANZEN
Koehler, Marko, 1943-06-26, M, FECHTEN
Kuester, Martina, 1947-06-26, F, TANZEN
Kohl, Matthias, 1956-06-26, M, TURNEN
Kastner, Markus, 1983-06-26, M, TURNEN
Klein, Mario, 1998-06-26, M, REITEN
Kohl, Monika, 1933-10-27, F, RADSPORT
Keller, Michelle, 1958-10-27, F, LEICHTATHLETIK
Koenig, Maximilian, 1961-10-27, M, SCHWIMMEN
Kuester, Marina, 1994-10-27, F, TURNEN
Kastner, Martina, 1936-11-27, F, LEICHTATHLETIK
Krueger, Marko, 1942-11-27, M, TURNEN
Kuefer, Maik, 1950-11-27, M, RADSPORT
Kalb, Maximilian, 1965-11-27, M, FUSSBALL
Kaestner, Matthias, 1978-11-27, M, RADSPORT
Koch, Mandy, 1983-11-27, F, REITEN
Klein, Michael, 1985-11-27, M, REITEN
Kohler, Martina, 1966-03-31, F, LEICHTATHLETIK
Kuhn, Maria, 1968-03-31, F, HANDBALL
Krueger, Mandy, 1977-03-31, F, TANZEN
Kirsch, Nadine, 1930-11-03, F, TANZEN
Keller, Niklas, 1978-05-07, M, FECHTEN
Konig, Nadine, 1932-09-08, F, TANZEN
Koenig, Niklas, 1937-11-08, M, TANZEN
Kirsch, Nicole, 1963-11-08, F, FECHTEN
Koehler, Nicole, 1979-11-08, F, TURNEN
Krueger, Nicole, 1955-03-12, F, LEICHTATHLETIK
